Directory of Federal Real Property
Real Property and Materiel Policy Division
Treasury Board of Canada Secretariat
Government of Canada

Security Level: Not Protected
Date: January 6th, 2023
Sort order:
Character set: ISO 8859 Latin 1
Field Delimiter: Comma
Text Qualifier: Double quote
Field Names: Included in line 16
Data: Begins on line 17
Help: DFRP-ADMIN-RBIF@tbs-sct.gc.ca

"Structure Number (TEXT data)","Structure Use Code (TEXT data)","Structure Use"
"005481","05 ","Transportation - Air"
"005490","45 ","Office"
"005491","29 ","Residential"
"005502","10 ","Commercial Retail"
"005509","63 ","Warehouse, Storage and Workshops"
"005514","09 ","Communications"
"005517","45 ","Office"
"005520","45 ","Office"
"005522","47 ","Parks and Recreation"
"005525","47 ","Parks and Recreation"
"005526","47 ","Parks and Recreation"
"005527","47 ","Parks and Recreation"
"005528","47 ","Parks and Recreation"
"005529","05 ","Transportation - Air"
"005530","63 ","Warehouse, Storage and Workshops"
"005532","11 ","Law Enforcement and Corrections"
"005533","01 ","Agricultural Research and Management"
"005534","29 ","Residential"
"005535","29 ","Residential"
"005536","05 ","Transportation - Air"
"005537","05 ","Transportation - Air"
"005538","01 ","Agricultural Research and Management"
"005539","63 ","Warehouse, Storage and Workshops"
"005540","05 ","Transportation - Air"
"005541","01 ","Agricultural Research and Management"
"005542","05 ","Transportation - Air"
"005543","01 ","Agricultural Research and Management"
"005544","63 ","Warehouse, Storage and Workshops"
"005545","05 ","Transportation - Air"
"005546","09 ","Communications"
"005548","05 ","Transportation - Air"
"005549","63 ","Warehouse, Storage and Workshops"
"005550","63 ","Warehouse, Storage and Workshops"
"005551","29 ","Residential"
"005557","29 ","Residential"
"005560","05 ","Transportation - Air"
"005562","60 ","Vacant"
"005565","05 ","Transportation - Air"
"005566","63 ","Warehouse, Storage and Workshops"
"005567","63 ","Warehouse, Storage and Workshops"
"005568","63 ","Warehouse, Storage and Workshops"
"005571","60 ","Vacant"
"005574","05 ","Transportation - Air"
"005575","29 ","Residential"
"005577","63 ","Warehouse, Storage and Workshops"
"005578","29 ","Residential"
"005579","63 ","Warehouse, Storage and Workshops"
"005584","29 ","Residential"
"005593","05 ","Transportation - Air"
"005598","45 ","Office"
"005598","63 ","Warehouse, Storage and Workshops"
"005610","63 ","Warehouse, Storage and Workshops"
"005614","11 ","Law Enforcement and Corrections"
"005618","45 ","Office"
"005626","05 ","Transportation - Air"
"005628","29 ","Residential"
"005630","01 ","Agricultural Research and Management"
"005631","45 ","Office"
"005633","63 ","Warehouse, Storage and Workshops"
"005635","05 ","Transportation - Air"
"005639","60 ","Vacant"
"005645","29 ","Residential"
"005651","63 ","Warehouse, Storage and Workshops"
"005652","29 ","Residential"
"005668","09 ","Communications"
"005669","17 ","Education and Training"
"005669","13 ","Assembly and Cultural"
"005669","45 ","Office"
"005669","41 ","Military"
"005669","31 ","Industrial"
"005669","17 ","Education and Training"
"005669","63 ","Warehouse, Storage and Workshops"
"005669","63 ","Warehouse, Storage and Workshops"
"005676","05 ","Transportation - Air"
"005677","05 ","Transportation - Air"
"005678","63 ","Warehouse, Storage and Workshops"
"005681","63 ","Warehouse, Storage and Workshops"
"005682","01 ","Agricultural Research and Management"
"005691","01 ","Agricultural Research and Management"
"005695","60 ","Vacant"
"005696","05 ","Transportation - Air"
"005701","29 ","Residential"
"005709","29 ","Residential"
"005711","29 ","Residential"
"005738","29 ","Residential"
"005739","05 ","Transportation - Air"
"005741","45 ","Office"
"005741","63 ","Warehouse, Storage and Workshops"
"005742","45 ","Office"
"005743","03 ","Transportation - Marine"
"005755","29 ","Residential"
"005757","17 ","Education and Training"
"005757","13 ","Assembly and Cultural"
"005757","45 ","Office"
"005757","41 ","Military"
"005757","31 ","Industrial"
"005757","63 ","Warehouse, Storage and Workshops"
"005757","63 ","Warehouse, Storage and Workshops"
"005764","63 ","Warehouse, Storage and Workshops"
"005766","29 ","Residential"
"005767","80 ","Legislative, Judicial, and Diplomatic"
"005769","45 ","Office"
"005769","31 ","Industrial"
"005769","10 ","Commercial Retail"
"005769","63 ","Warehouse, Storage and Workshops"
"005770","63 ","Warehouse, Storage and Workshops"
"005771","63 ","Warehouse, Storage and Workshops"
"005772","01 ","Agricultural Research and Management"
"005777","63 ","Warehouse, Storage and Workshops"
"005779","60 ","Vacant"
"005780","05 ","Transportation - Air"
"005781","60 ","Vacant"
"005782","63 ","Warehouse, Storage and Workshops"
"005783","05 ","Transportation - Air"
"005785","63 ","Warehouse, Storage and Workshops"
"005790","05 ","Transportation - Air"
"005791","29 ","Residential"
"005798","05 ","Transportation - Air"
"005800","45 ","Office"
"005801","10 ","Commercial Retail"
"005802","29 ","Residential"
"005803","05 ","Transportation - Air"
"005804","45 ","Office"
"005805","45 ","Office"
"005806","29 ","Residential"
"005807","05 ","Transportation - Air"
"005809","13 ","Assembly and Cultural"
"005810","13 ","Assembly and Cultural"
"005811","05 ","Transportation - Air"
"005812","63 ","Warehouse, Storage and Workshops"
"005813","29 ","Residential"
"005814","05 ","Transportation - Air"
"005816","05 ","Transportation - Air"
"005817","63 ","Warehouse, Storage and Workshops"
"005828","13 ","Assembly and Cultural"
"005830","63 ","Warehouse, Storage and Workshops"
"005835","51 ","Research and Technological Development"
"005835","45 ","Office"
"005844","29 ","Residential"
"005853","45 ","Office"
"005853","31 ","Industrial"
"005853","63 ","Warehouse, Storage and Workshops"
"005906","63 ","Warehouse, Storage and Workshops"
"005907","51 ","Research and Technological Development"
"005917","60 ","Vacant"
"005940","60 ","Vacant"
"005972","11 ","Law Enforcement and Corrections"
"006009","11 ","Law Enforcement and Corrections"
"006038","11 ","Law Enforcement and Corrections"
"006039","11 ","Law Enforcement and Corrections"
"006040","11 ","Law Enforcement and Corrections"
"006042","29 ","Residential"
"006043","13 ","Assembly and Cultural"
"006062","29 ","Residential"
"006153","45 ","Office"
"006154","80 ","Legislative, Judicial, and Diplomatic"
"006156","45 ","Office"
"006165","45 ","Office"
"006170","45 ","Office"
"006170","63 ","Warehouse, Storage and Workshops"
"006170","63 ","Warehouse, Storage and Workshops"
"006190","10 ","Commercial Retail"
"006193","63 ","Warehouse, Storage and Workshops"
"006222","45 ","Office"
"006222","41 ","Military"
"006222","10 ","Commercial Retail"
"006222","63 ","Warehouse, Storage and Workshops"
"006222","63 ","Warehouse, Storage and Workshops"
"006229","29 ","Residential"
"006249","51 ","Research and Technological Development"
"006265","45 ","Office"
"006265","63 ","Warehouse, Storage and Workshops"
"006269","05 ","Transportation - Air"
"006271","29 ","Residential"
"006290","45 ","Office"
"006290","63 ","Warehouse, Storage and Workshops"
"006293","45 ","Office"
"006294","41 ","Military"
"006297","45 ","Office"
"006297","31 ","Industrial"
"006300","29 ","Residential"
"006301","29 ","Residential"
"006313","51 ","Research and Technological Development"
"006313","45 ","Office"
"006315","51 ","Research and Technological Development"
"006315","45 ","Office"
"006315","63 ","Warehouse, Storage and Workshops"
"006320","17 ","Education and Training"
"006320","26 ","Health, Medical and Dental"
"006320","51 ","Research and Technological Development"
"006320","13 ","Assembly and Cultural"
"006320","45 ","Office"
"006320","31 ","Industrial"
"006320","47 ","Parks and Recreation"
"006320","10 ","Commercial Retail"
"006320","17 ","Education and Training"
"006320","63 ","Warehouse, Storage and Workshops"
"006324","45 ","Office"
"006325","45 ","Office"
"006325","63 ","Warehouse, Storage and Workshops"
"006326","45 ","Office"
"006326","63 ","Warehouse, Storage and Workshops"
"006327","45 ","Office"
"006334","51 ","Research and Technological Development"
"006334","45 ","Office"
"006334","63 ","Warehouse, Storage and Workshops"
"006345","11 ","Law Enforcement and Corrections"
"006347","11 ","Law Enforcement and Corrections"
"006353","11 ","Law Enforcement and Corrections"
"006357","29 ","Residential"
"006359","17 ","Education and Training"
"006361","11 ","Law Enforcement and Corrections"
"006365","11 ","Law Enforcement and Corrections"
"006366","11 ","Law Enforcement and Corrections"
"006375","13 ","Assembly and Cultural"
"006375","45 ","Office"
"006375","31 ","Industrial"
"006375","17 ","Education and Training"
"006375","63 ","Warehouse, Storage and Workshops"
"006375","63 ","Warehouse, Storage and Workshops"
"006380","51 ","Research and Technological Development"
"006380","45 ","Office"
"006380","31 ","Industrial"
"006380","63 ","Warehouse, Storage and Workshops"
"006391","45 ","Office"
"006391","31 ","Industrial"
"006397","17 ","Education and Training"
"006398","17 ","Education and Training"
"006405","45 ","Office"
"006405","63 ","Warehouse, Storage and Workshops"
"006411","29 ","Residential"
"006422","63 ","Warehouse, Storage and Workshops"
"006432","45 ","Office"
"006451","17 ","Education and Training"
"006454","45 ","Office"
"006459","45 ","Office"
"006467","11 ","Law Enforcement and Corrections"
"006469","45 ","Office"
"006469","63 ","Warehouse, Storage and Workshops"
"006472","45 ","Office"
"006472","31 ","Industrial"
"006472","63 ","Warehouse, Storage and Workshops"
"006472","63 ","Warehouse, Storage and Workshops"
"006475","13 ","Assembly and Cultural"
"006479","17 ","Education and Training"
"006479","26 ","Health, Medical and Dental"
"006479","51 ","Research and Technological Development"
"006479","45 ","Office"
"006479","41 ","Military"
"006479","47 ","Parks and Recreation"
"006479","17 ","Education and Training"
"006479","63 ","Warehouse, Storage and Workshops"
"006482","13 ","Assembly and Cultural"
"006482","45 ","Office"
"006482","80 ","Legislative, Judicial, and Diplomatic"
"006482","31 ","Industrial"
"006482","47 ","Parks and Recreation"
"006482","17 ","Education and Training"
"006482","63 ","Warehouse, Storage and Workshops"
"006484","17 ","Education and Training"
"006484","10 ","Commercial Retail"
"006484","13 ","Assembly and Cultural"
"006484","45 ","Office"
"006484","80 ","Legislative, Judicial, and Diplomatic"
"006484","31 ","Industrial"
"006484","10 ","Commercial Retail"
"006484","17 ","Education and Training"
"006484","63 ","Warehouse, Storage and Workshops"
"006484","63 ","Warehouse, Storage and Workshops"
"006487","63 ","Warehouse, Storage and Workshops"
"006488","51 ","Research and Technological Development"
"006488","45 ","Office"
"006488","09 ","Communications"
"006488","63 ","Warehouse, Storage and Workshops"
"006494","29 ","Residential"
"006495","45 ","Office"
"006495","09 ","Communications"
"006500","17 ","Education and Training"
"006500","45 ","Office"
"006500","63 ","Warehouse, Storage and Workshops"
"006503","17 ","Education and Training"
"006503","13 ","Assembly and Cultural"
"006503","45 ","Office"
"006503","17 ","Education and Training"
"006503","63 ","Warehouse, Storage and Workshops"
"006505","45 ","Office"
"006505","63 ","Warehouse, Storage and Workshops"
"006506","11 ","Law Enforcement and Corrections"
"006511","51 ","Research and Technological Development"
"006511","45 ","Office"
"006511","47 ","Parks and Recreation"
"006511","63 ","Warehouse, Storage and Workshops"
"006511","63 ","Warehouse, Storage and Workshops"
"006521","45 ","Office"
"006523","45 ","Office"
"006523","31 ","Industrial"
"006523","47 ","Parks and Recreation"
"006524","51 ","Research and Technological Development"
"006524","45 ","Office"
"006524","41 ","Military"
"006524","47 ","Parks and Recreation"
"006524","17 ","Education and Training"
"006524","63 ","Warehouse, Storage and Workshops"
"006524","63 ","Warehouse, Storage and Workshops"
"006528","45 ","Office"
"006528","31 ","Industrial"
"006528","63 ","Warehouse, Storage and Workshops"
"006528","63 ","Warehouse, Storage and Workshops"
"006531","45 ","Office"
"006531","63 ","Warehouse, Storage and Workshops"
"006533","63 ","Warehouse, Storage and Workshops"
"006536","45 ","Office"
"006536","63 ","Warehouse, Storage and Workshops"
"006536","63 ","Warehouse, Storage and Workshops"
"006544","45 ","Office"
"006548","45 ","Office"
"006548","63 ","Warehouse, Storage and Workshops"
"006548","63 ","Warehouse, Storage and Workshops"
"006559","01 ","Agricultural Research and Management"
"006571","01 ","Agricultural Research and Management"
"006577","01 ","Agricultural Research and Management"
"006579","63 ","Warehouse, Storage and Workshops"
"006582","51 ","Research and Technological Development"
"006590","45 ","Office"
"006596","45 ","Office"
"006601","80 ","Legislative, Judicial, and Diplomatic"
"006601","45 ","Office"
"006625","29 ","Residential"
"006629","11 ","Law Enforcement and Corrections"
"006630","11 ","Law Enforcement and Corrections"
"006632","05 ","Transportation - Air"
"006635","11 ","Law Enforcement and Corrections"
"006638","11 ","Law Enforcement and Corrections"
"006644","45 ","Office"
"006645","11 ","Law Enforcement and Corrections"
"006647","29 ","Residential"
"006656","11 ","Law Enforcement and Corrections"
"006657","11 ","Law Enforcement and Corrections"
"006661","11 ","Law Enforcement and Corrections"
"006662","45 ","Office"
"006662","47 ","Parks and Recreation"
"006662","63 ","Warehouse, Storage and Workshops"
"006662","63 ","Warehouse, Storage and Workshops"
"006669","13 ","Assembly and Cultural"
"006672","29 ","Residential"
"006688","29 ","Residential"
"006691","51 ","Research and Technological Development"
"006691","45 ","Office"
"006700","17 ","Education and Training"
"006707","13 ","Assembly and Cultural"
"006740","51 ","Research and Technological Development"
"006741","45 ","Office"
"006753","63 ","Warehouse, Storage and Workshops"
"006771","60 ","Vacant"
"006815","45 ","Office"
"006816","45 ","Office"
"006816","63 ","Warehouse, Storage and Workshops"
"006824","63 ","Warehouse, Storage and Workshops"
"006827","63 ","Warehouse, Storage and Workshops"
"006840","45 ","Office"
"006840","80 ","Legislative, Judicial, and Diplomatic"
"006840","17 ","Education and Training"
"006862","63 ","Warehouse, Storage and Workshops"
"006863","63 ","Warehouse, Storage and Workshops"
"006866","45 ","Office"
"006870","13 ","Assembly and Cultural"
"006876","31 ","Industrial"
"006878","11 ","Law Enforcement and Corrections"
"006885","11 ","Law Enforcement and Corrections"
"006891","45 ","Office"
"006898","45 ","Office"
"006898","63 ","Warehouse, Storage and Workshops"
"006915","45 ","Office"
"006915","47 ","Parks and Recreation"
"006915","63 ","Warehouse, Storage and Workshops"
"006915","63 ","Warehouse, Storage and Workshops"
"006919","45 ","Office"
"006929","11 ","Law Enforcement and Corrections"
"006932","45 ","Office"
"006938","45 ","Office"
"006939","45 ","Office"
"006950","63 ","Warehouse, Storage and Workshops"
"006953","19 ","Services and Utilities"
"006958","51 ","Research and Technological Development"
"006959","45 ","Office"
"006967","51 ","Research and Technological Development"
"006967","45 ","Office"
"006969","29 ","Residential"
"006977","45 ","Office"
"006979","11 ","Law Enforcement and Corrections"
"006984","51 ","Research and Technological Development"
"006984","45 ","Office"
"006984","17 ","Education and Training"
"006984","63 ","Warehouse, Storage and Workshops"
"006985","45 ","Office"
"006986","45 ","Office"
"006992","01 ","Agricultural Research and Management"
"006996","63 ","Warehouse, Storage and Workshops"
